PC1,PC2,price
-4.67540561748785,2.2506979301211008,4355
-4.564742056144215,1.7508634882610234,4800
-3.8785612679356096,3.2068372311765785,1700
-2.457286870116789,-4.509695545342701,3492
7.2460094692309465,2.966073738761318,12000
7.261444839634805,2.9307167402506926,8500
6.48836744307885,-2.16505784313004,8599
5.910997884335427,2.211320432273689,5499
6.767877349474984,-1.8001559771211428,6499
-2.958483651614831,-2.9702724856574347,5000
7.271875356047881,2.955856091369122,7049
1.8216952209127377,-5.727102547853274,7499
6.145661973971807,4.1199559344910055,11000
-2.4822306885197576,4.481472295557682,4779
6.843964897655805,-1.8413589242373354,11750
6.438453175043895,-2.155790383900559,9750
4.719157701196571,-1.4174915234764116,13500
2.436515830833456,-4.669700620664338,10000
-4.648015513536995,3.332276833789584,2772
-5.172633689347222,3.8110554914280983,3223
-5.196808471730482,3.0296987766129857,3339
4.330861462148743,-0.33767846124172113,10250
6.625541905399133,2.1675680938464876,10350
4.507355874570972,2.9298717764265807,10455
7.2483014920105875,2.862759538758507,10500
-4.6754056174878365,2.2506979301211025,4355
-4.5647420561442,1.7508634882610221,4800
-3.878561267935607,3.2068372311765936,1700
-2.4572868701167945,-4.5096955453427015,3492
7.246009469230937,2.9660737387613354,12000
7.261444839634816,2.9307167402507086,8500
5.910997884335422,2.211320432273692,5499
6.767877349474974,-1.8001559771211495,6499
-2.9584836516148365,-2.97027248565744,5000
7.271875356047901,2.9558560913691236,7049
1.8216952209127415,-5.727102547853272,7499
6.145661973971796,4.119955934491002,11000
-2.482230688519747,4.481472295557676,4779
6.438453175043899,-2.1557903839005634,9750
4.719157701196566,-1.417491523476411,13500
2.436515830833454,-4.6697006206643294,10000
-4.648015513536999,3.3322768337895874,2772
-5.172633689347222,3.8110554914281134,3223
6.625541905399101,2.167568093846488,10350
4.507355874570968,2.929871776426562,10455
7.248301492010592,2.8627595387585294,10500
4.680288095381552,-2.294216325426959,6000
-0.6132112526081304,-5.8341542256923375,5799
5.320137193607677,5.118382749113198,9000
-2.121555452827119,4.517762384846846,5200
